listing_id,seller_id,category_id,created_at
1001254,80014485718,1,2024-01-01
1002102,52335172823,2,2024-01-01
1002403,78829239556,1,2024-01-01
1002755,85098326012,2,2024-01-01
1003689,92037596077,2,2024-01-01
1004098,45498551794,2,2024-01-01
1004650,61300605564,1,2024-01-01
1005202,90821839709,1,2024-01-01
1005754,79384379533,1,2024-01-01
1006307,75527839483,1,2024-01-01
1006859,1280143094,2,2024-01-01
1007411,18824631834,2,2024-01-01
1007964,88136055909,1,2024-01-01
1008516,26802410424,1,2024-01-01
1009068,88920244552,1,2024-01-01
1009621,46551725984,2,2024-01-01
1010173,62566345680,2,2024-01-01
1010725,80380130347,2,2024-01-01
1011277,73862528370,1,2024-01-01
1011830,72145018858,2,2024-01-01
1012382,79805143117,2,2024-01-01
1012934,86554611512,2,2024-01-01
1013487,53754237010,1,2024-01-01
1014039,87668933180,1,2024-01-01
1014591,57827496420,1,2024-01-01
1015144,48387947293,2,2024-01-01
1015696,81686279636,1,2024-01-01
1022323,88653822946,2,2024-01-01
1022876,49725315867,1,2024-01-01
1023428,31736204344,3,2024-01-01
1023980,63131487263,1,2024-01-01
1024533,50357575975,2,2024-01-01
1025085,45597582469,1,2024-01-01
1025637,55430108992,1,2024-01-01
1028399,53466382920,2,2024-01-01
1028951,49393946881,1,2024-01-01
1029503,1529890895,1,2024-01-01
1030056,50562514538,2,2024-01-01
1030608,49585766302,2,2024-01-01
1031160,52857769781,2,2024-01-01
1031713,39829029279,2,2024-01-01
1032265,84933495312,2,2024-01-01
1032817,18424415847,1,2024-01-01
1033369,48877238684,1,2024-01-01
1033922,71987706184,1,2024-01-01
1034474,85649449746,2,2024-01-01
1035026,22028915442,1,2024-01-01
1035579,51930287368,2,2024-01-01
1036131,85658272266,2,2024-01-01
1036683,91715353208,2,2024-01-01
1037236,71078326464,1,2024-01-01
1037788,20543275700,1,2024-01-01
1038340,42969787263,2,2024-01-01
1038892,79667908130,1,2024-01-01
1039445,19095545297,2,2024-01-01
1039997,58710475260,1,2024-01-01
1040549,27952493551,2,2024-01-01
1041102,90314634438,2,2024-01-01
1041654,44843744875,1,2024-01-01
1044968,43811392937,1,2024-01-01
1045520,6644226026,1,2024-01-01
1046072,73077753757,1,2024-01-01
1046625,97798221815,2,2024-01-01
1047177,54627928830,2,2024-01-01
1047729,88585125323,2,2024-01-01
1048282,15834881958,1,2024-01-01
1048834,34333762709,2,2024-01-01
1049386,76203104999,2,2024-01-01
1049938,7693754055,1,2024-01-01
1050491,65444463877,1,2024-01-01
1058775,90570445423,2,2024-01-01
1059328,14752755860,1,2024-01-01
1059880,74182934364,2,2024-01-01
1060432,94662871331,2,2024-01-01
1060984,38981444696,2,2024-01-01
1061537,18044628997,1,2024-01-01
1062089,85201462079,2,2024-01-01
1062641,61210263217,1,2024-01-01
1063194,85719117699,1,2024-01-01
1063746,95420528585,2,2024-01-01
1064298,56820832918,2,2024-01-01
1064851,63842204720,2,2024-01-01
1065403,14374368872,2,2024-01-01
1069821,21125900343,2,2024-01-01
1070374,63113999922,1,2024-01-01
1070926,96956465387,1,2024-01-01
1071478,77172555024,2,2024-01-01
1072030,44493053522,1,2024-01-01
1072583,46312284523,1,2024-01-01
1073135,90525781448,2,2024-01-01
1073687,35058485479,1,2024-01-01
1074240,24559680874,2,2024-01-01
1074792,48867545848,1,2024-01-01
1075344,77518406270,2,2024-01-01
1075897,53246473793,1,2024-01-01
1076449,80835835733,2,2024-01-01
1077001,41763838164,1,2024-01-01
1077553,80213101260,1,2024-01-01
1078106,12359551036,2,2024-01-01
1078658,6534696854,1,2024-01-01
1079210,63891709973,2,2024-01-01
1079763,83716006050,2,2024-01-01
1080315,82129516523,2,2024-01-01
1080867,57811865410,1,2024-01-01
1081420,64718456383,2,2024-01-01
1081972,28474746188,2,2024-01-01
1083629,26995415534,1,2024-01-01
1084181,7020663711,1,2024-01-01
1084733,45352858672,1,2024-01-01
1085286,28372000134,1,2024-01-01
1085838,85684057000,1,2024-01-01
1086390,47292670441,2,2024-01-01
1086943,80380133240,1,2024-01-01
1087495,75987317883,2,2024-01-01
1088047,51756716507,2,2024-01-01
1088599,30351473270,2,2024-01-01
1089152,22525653405,2,2024-01-01
1089704,82585795978,2,2024-01-01
1090809,973585651,1,2024-01-01
1091361,86944769515,2,2024-01-01
1091913,20270952150,1,2024-01-01
1092466,3310140241,2,2024-01-01
1093018,61571782497,2,2024-01-01
1093570,29280666536,2,2024-01-01
1094675,44408473243,2,2024-01-01
1095227,95792367490,1,2024-01-01
1095779,29877853006,1,2024-01-01
1096332,80294758485,1,2024-01-01
1096884,33855109201,2,2024-01-01
1097436,56474290668,1,2024-01-01
1097989,57567873573,2,2024-01-01
1098541,83631499592,1,2024-01-01
1099093,64716183027,2,2024-01-01
1099645,13628045272,2,2024-01-01
1100198,31589665723,2,2024-01-01
1100750,42380667906,2,2024-01-01
1101302,9549678609,1,2024-01-01
1101855,65716686884,2,2024-01-01
1102407,44580630332,1,2024-01-01
1102959,35675205624,2,2024-01-01
1103512,36806839312,2,2024-01-01
1106825,93725364475,2,2024-01-01
1107378,11711269275,2,2024-01-01
1107930,47754762661,2,2024-01-01
1108482,53580758729,1,2024-01-01
1109035,66711255974,1,2024-01-01
1110139,39463875808,1,2024-01-01
1110691,72064826815,2,2024-01-01
1111244,43945171386,1,2024-01-01
1111796,16211727428,2,2024-01-01
1112348,51018805199,1,2024-01-01
1112901,21389589535,2,2024-01-01
1113453,80926683538,2,2024-01-01
1114005,20738355824,3,2024-01-01
1114558,27207072817,1,2024-01-01
1115662,14045566528,2,2024-01-01
1116214,30253075852,1,2024-01-01
1116767,50778476532,1,2024-01-01
1119528,21636248705,1,2024-01-01
1120081,30191089894,1,2024-01-01
1120633,79861348248,2,2024-01-01
1121185,11696098683,2,2024-01-01
1121737,38264908739,1,2024-01-01
1122290,49921339869,2,2024-01-01
1122842,38579657286,2,2024-01-01
1123394,13467711251,2,2024-01-01
1123947,79638424542,2,2024-01-01
1124499,18399221085,2,2024-01-01
1125051,80178020812,2,2024-01-01
1125604,95734990661,2,2024-01-01
1126156,46480721644,1,2024-01-01
1126708,20576025416,1,2024-01-01
1127260,81471714501,1,2024-01-01
1127813,5961679794,2,2024-01-01
1128365,41153188173,2,2024-01-01
1128917,25015494698,2,2024-01-01
1129470,14920488865,2,2024-01-01
1130022,969495230,2,2024-01-01
1130574,21781584182,2,2024-01-01
1131127,12938638555,2,2024-01-01
1131679,74291995690,2,2024-01-01
1132231,34228394206,1,2024-01-01
1132783,6289503909,1,2024-01-01
1133336,73371624660,2,2024-01-01
1133888,38278567651,2,2024-01-01
1134993,39174831196,2,2024-01-01
1135545,27743402115,2,2024-01-01
1136097,27437089550,1,2024-01-01
1136650,6670990373,1,2024-01-01
1137202,56864395436,2,2024-01-01
1141068,13282897809,2,2024-01-01
