signal_id,listing_id,views,wishlist_count,time_period
1,1001254,2144,230,2024-01-01
2,1002102,1823,482,2024-01-01
3,1002403,2260,385,2024-01-01
4,1002755,1802,98,2024-01-01
5,1003689,2599,365,2024-01-01
6,1004098,4467,348,2024-01-01
7,1004650,2553,132,2024-01-01
8,1005202,4149,320,2024-01-01
9,1005754,1512,382,2024-01-01
10,1006307,2988,414,2024-01-01
11,1006859,3207,64,2024-01-01
12,1007411,4138,365,2024-01-01
13,1007964,3738,259,2024-01-01
14,1008516,1962,49,2024-01-01
15,1009068,4336,223,2024-01-01
16,1009621,1720,237,2024-01-01
17,1010173,3226,161,2024-01-01
18,1010725,1236,239,2024-01-01
19,1011277,2486,416,2024-01-01
20,1011830,3317,106,2024-01-01
21,1012382,939,237,2024-01-01
22,1012934,878,149,2024-01-01
23,1013487,3433,477,2024-01-01
24,1014039,3424,377,2024-01-01
25,1014591,2490,289,2024-01-01
26,1015144,4255,364,2024-01-01
27,1015696,2093,162,2024-01-01
28,1022323,3157,447,2024-01-01
29,1022876,4612,78,2024-01-01
30,1023428,4137,26,2024-01-01
31,1023980,3996,178,2024-01-01
32,1024533,2906,269,2024-01-01
33,1025085,1320,122,2024-01-01
34,1025637,849,268,2024-01-01
35,1028399,1352,465,2024-01-01
36,1028951,4093,209,2024-01-01
37,1029503,524,378,2024-01-01
38,1030056,4096,443,2024-01-01
39,1030608,2721,130,2024-01-01
40,1031160,2958,256,2024-01-01
41,1031713,2224,243,2024-01-01
42,1032265,2589,328,2024-01-01
43,1032817,4771,329,2024-01-01
44,1033369,1854,117,2024-01-01
45,1033922,961,228,2024-01-01
46,1034474,4831,57,2024-01-01
47,1035026,3349,312,2024-01-01
48,1035579,4117,59,2024-01-01
49,1036131,284,422,2024-01-01
50,1036683,1545,134,2024-01-01
51,1037236,4986,179,2024-01-01
52,1037788,313,88,2024-01-01
53,1038340,3744,68,2024-01-01
54,1038892,4374,471,2024-01-01
55,1039445,3567,229,2024-01-01
56,1039997,2042,104,2024-01-01
57,1040549,4697,264,2024-01-01
58,1041102,1162,442,2024-01-01
59,1041654,223,337,2024-01-01
60,1044968,4331,31,2024-01-01
61,1045520,4800,232,2024-01-01
62,1046072,4984,165,2024-01-01
63,1046625,1782,308,2024-01-01
64,1047177,4201,17,2024-01-01
65,1047729,1959,207,2024-01-01
66,1048282,4691,477,2024-01-01
67,1048834,3507,398,2024-01-01
68,1049386,775,297,2024-01-01
69,1049938,3618,441,2024-01-01
70,1050491,2794,240,2024-01-01
71,1058775,4127,267,2024-01-01
72,1059328,884,433,2024-01-01
73,1059880,3690,408,2024-01-01
74,1060432,1992,466,2024-01-01
75,1060984,4743,28,2024-01-01
76,1061537,2590,278,2024-01-01
77,1062089,691,357,2024-01-01
78,1062641,2874,75,2024-01-01
79,1063194,4445,349,2024-01-01
80,1063746,938,312,2024-01-01
81,1064298,4989,191,2024-01-01
82,1064851,389,291,2024-01-01
83,1065403,2966,45,2024-01-01
84,1069821,2958,288,2024-01-01
85,1070374,3626,270,2024-01-01
86,1070926,368,421,2024-01-01
87,1071478,154,368,2024-01-01
88,1072030,1287,391,2024-01-01
89,1072583,4820,435,2024-01-01
90,1073135,497,445,2024-01-01
91,1073687,4089,319,2024-01-01
92,1074240,1572,451,2024-01-01
93,1074792,1738,120,2024-01-01
94,1075344,4559,218,2024-01-01
95,1075897,958,248,2024-01-01
96,1076449,3440,388,2024-01-01
97,1077001,348,128,2024-01-01
98,1077553,4867,168,2024-01-01
99,1078106,521,359,2024-01-01
100,1078658,4474,260,2024-01-01
101,1079210,3928,359,2024-01-01
102,1079763,4586,471,2024-01-01
103,1080315,1125,34,2024-01-01
104,1080867,4049,160,2024-01-01
105,1081420,1852,305,2024-01-01
106,1081972,3796,87,2024-01-01
107,1083629,852,28,2024-01-01
108,1084181,2716,342,2024-01-01
109,1084733,3115,425,2024-01-01
110,1085286,1344,219,2024-01-01
111,1085838,3968,492,2024-01-01
112,1086390,4206,359,2024-01-01
113,1086943,4873,76,2024-01-01
114,1087495,970,422,2024-01-01
115,1088047,4319,378,2024-01-01
116,1088599,372,328,2024-01-01
117,1089152,2899,22,2024-01-01
118,1089704,1942,260,2024-01-01
119,1090809,4514,432,2024-01-01
120,1091361,3284,272,2024-01-01
121,1091913,215,199,2024-01-01
122,1092466,826,226,2024-01-01
123,1093018,1559,69,2024-01-01
124,1093570,3861,269,2024-01-01
125,1094675,2673,120,2024-01-01
126,1095227,1527,405,2024-01-01
127,1095779,3496,297,2024-01-01
128,1096332,4860,137,2024-01-01
129,1096884,191,266,2024-01-01
130,1097436,2309,291,2024-01-01
131,1097989,2265,351,2024-01-01
132,1098541,3100,38,2024-01-01
133,1099093,1942,332,2024-01-01
134,1099645,4376,81,2024-01-01
135,1100198,996,415,2024-01-01
