listing_id,avg_rating,total_reviews,total_sales
1001254,4.0,1,17
1002102,4.0,1,63
1002403,5.0,1,63
1002755,4.0,1,28
1003689,3.0,1,36
1004098,3.0,1,87
1004650,5.0,1,22
1005202,5.0,1,96
1005754,3.0,1,41
1006307,5.0,1,65
1006859,3.0,1,59
1007411,4.0,1,20
1007964,4.0,1,92
1008516,4.0,1,9
1009068,3.0,1,73
1009621,3.0,1,96
1010173,3.0,1,82
1010725,5.0,1,66
1011277,3.0,1,41
1011830,5.0,1,6
1012382,3.0,1,85
1012934,3.0,1,24
1013487,4.0,1,18
1014039,3.0,1,45
1014591,4.0,1,71
1015144,4.0,1,64
1015696,5.0,1,62
1022323,3.0,1,72
1022876,3.0,1,61
1023428,5.0,1,28
1023980,3.0,1,26
1024533,2.0,1,69
1025085,1.0,1,37
1025637,3.0,1,62
1028399,1.0,1,1
1028951,1.0,1,91
1029503,2.0,1,70
1030056,3.0,1,59
1030608,2.0,1,43
1031160,5.0,1,72
1031713,5.0,1,23
1032265,5.0,1,11
1032817,4.0,1,15
1033369,3.0,1,44
1033922,1.0,1,18
1034474,5.0,1,24
1035026,3.0,1,14
1035579,2.0,1,81
1036131,5.0,1,46
1036683,1.0,1,76
1037236,2.0,1,69
1037788,1.0,1,52
1038340,3.0,1,99
1038892,3.0,1,52
1039445,1.0,1,87
1039997,3.0,1,26
1040549,4.0,1,30
1041102,3.0,1,4
1041654,3.0,1,44
1044968,2.0,1,7
1045520,4.0,1,12
1046072,3.0,1,27
1046625,3.0,1,14
1047177,4.0,1,47
1047729,4.0,1,42
1048282,3.0,1,18
1048834,3.0,1,68
1049386,4.0,1,33
1049938,2.0,1,57
1050491,5.0,1,46
1058775,2.0,1,81
1059328,1.0,1,58
1059880,2.0,1,64
1060432,3.0,1,86
1060984,1.0,1,57
1061537,1.0,1,38
1062089,2.0,1,21
1062641,1.0,1,11
1063194,4.0,1,5
1063746,5.0,1,81
1064298,3.0,1,3
1064851,5.0,1,51
1065403,3.0,1,93
1069821,1.0,1,15
1070374,4.0,1,83
1070926,4.0,1,90
1071478,4.0,1,34
1072030,5.0,1,24
1072583,1.0,1,27
1073135,3.0,1,68
1073687,4.0,1,74
1074240,4.0,1,37
1074792,2.0,1,74
1075344,5.0,1,13
1075897,2.0,1,76
1076449,5.0,1,8
1077001,4.0,1,22
1077553,3.0,1,46
1078106,5.0,1,2
1078658,2.0,1,77
1079210,4.0,1,80
1079763,5.0,1,98
1080315,3.0,1,27
1080867,4.0,1,51
1081420,2.0,1,90
1081972,3.0,1,32
1083629,5.0,1,15
1084181,4.0,1,73
1084733,3.0,1,87
1085286,2.0,1,71
1085838,2.0,1,6
1086390,3.0,1,93
1086943,5.0,1,18
1087495,3.0,1,32
1088047,3.0,1,70
1088599,1.0,1,91
1089152,2.0,1,82
1089704,5.0,1,69
1090809,1.0,1,70
1091361,4.0,1,21
1091913,2.0,1,96
1092466,1.0,1,28
1093018,2.0,1,90
1093570,4.0,1,21
1094675,5.0,1,90
1095227,4.0,1,7
1095779,5.0,1,85
1096332,1.0,1,86
1096884,4.0,1,7
1097436,4.0,1,39
1097989,4.0,1,33
1098541,5.0,1,14
1099093,1.0,1,48
1099645,2.0,1,56
1100198,1.0,1,98
1100750,3.0,1,66
1101302,4.0,1,50
1101855,4.0,1,16
1102407,4.0,1,36
1102959,4.0,1,1
1103512,4.0,1,42
1106825,2.0,1,61
1107378,2.0,1,34
1107930,4.0,1,25
1108482,1.0,1,49
1109035,1.0,1,59
1110139,2.0,1,9
1110691,3.0,1,49
1111244,3.0,1,79
1111796,4.0,1,86
1112348,3.0,1,46
1112901,4.0,1,34
1113453,3.0,1,35
1114005,1.0,1,27
1114558,1.0,1,71
1115662,1.0,1,68
1116214,1.0,1,3
1116767,1.0,1,40
1119528,4.0,1,93
1120081,1.0,1,13
1120633,5.0,1,43
1121185,2.0,1,55
1121737,5.0,1,19
1122290,3.0,1,10
1122842,2.0,1,15
1123394,4.0,1,57
1123947,5.0,1,47
1124499,3.0,1,88
1125051,2.0,1,34
1125604,5.0,1,78
1126156,4.0,1,6
1126708,1.0,1,41
1127260,4.0,1,32
1127813,3.0,1,72
1128365,5.0,1,18
1128917,5.0,1,59
1129470,5.0,1,87
1130022,1.0,1,20
1130574,1.0,1,32
1131127,4.0,1,16
1131679,2.0,1,83
1132231,3.0,1,16
1132783,4.0,1,7
1133336,4.0,1,85
1133888,3.0,1,77
1134993,5.0,1,8
1135545,1.0,1,15
1136097,3.0,1,55
1136650,5.0,1,36
1137202,1.0,1,31
1141068,4.0,1,95
1141620,2.0,1,81
1142173,4.0,1,42
1142725,1.0,1,23
1143277,5.0,1,92
1143829,5.0,1,74
1144382,4.0,1,37
1144934,5.0,1,6
1145486,1.0,1,74
1146591,4.0,1,66
1147143,1.0,1,92
1147696,5.0,1,49
1151009,3.0,1,45
1151562,2.0,1,95
1152114,2.0,1,51
1152666,3.0,1,28
1153219,2.0,1,52
1153771,5.0,1,81
1154323,2.0,1,99
1154875,4.0,1,9
1155428,1.0,1,27
1155980,5.0,1,78
1156532,3.0,1,15
1157085,5.0,1,57
1157637,4.0,1,39
1158189,5.0,1,16
1158742,2.0,1,21
1159294,4.0,1,38
1160398,2.0,1,54
1160951,4.0,1,2
1161503,3.0,1,41
1162055,2.0,1,91
1162608,3.0,1,15
1163160,5.0,1,10
1163712,2.0,1,34
1164817,1.0,1,85
1165369,4.0,1,81
1165921,5.0,1,68
1166474,4.0,1,19
1167026,2.0,1,83
1167578,3.0,1,23
1168131,3.0,1,87
1168683,4.0,1,15
1169235,4.0,1,33
1169788,4.0,1,44
1170340,1.0,1,81
1171444,2.0,1,35
1171997,4.0,1,91
1172549,5.0,1,32
1173101,3.0,1,36
1173654,1.0,1,16
1174206,3.0,1,98
1174758,3.0,1,46
1175311,5.0,1,80
1175863,5.0,1,42
1176415,1.0,1,17
1176967,3.0,1,27
1178072,1.0,1,92
1178624,5.0,1,11
1179177,1.0,1,66
1179729,1.0,1,89
1180281,5.0,1,86
1180834,4.0,1,76
1181386,5.0,1,48
1181938,4.0,1,49
1182490,2.0,1,85
1185804,3.0,1,46
1186357,1.0,1,31
1186909,1.0,1,4
1187461,4.0,1,47
1188013,5.0,1,41
1188566,3.0,1,66
1189118,5.0,1,65
1189670,3.0,1,5
1190223,3.0,1,20
1190775,1.0,1,63
1191327,2.0,1,36
1191880,4.0,1,54
1192432,3.0,1,68
1192984,3.0,1,8
1193536,4.0,1,76
1194089,5.0,1,54
1194641,1.0,1,8
1195193,4.0,1,21
1195746,5.0,1,16
1196298,1.0,1,85
1196850,2.0,1,44
1197403,3.0,1,76
1197955,1.0,1,44
1198507,5.0,1,65
1199059,1.0,1,65
1199612,3.0,1,54
1200164,4.0,1,36
1201269,3.0,1,78
1201821,2.0,1,4
1202373,5.0,1,90
1202926,5.0,1,47
1203478,4.0,1,32
1204030,5.0,1,30
1204582,3.0,1,34
1205135,5.0,1,2
1205687,4.0,1,73
1206239,2.0,1,59
1206792,2.0,1,18
1207344,2.0,1,38
1207896,4.0,1,85
1208449,4.0,1,23
1209001,1.0,1,55
1209553,3.0,1,56
1210105,3.0,1,29
1210658,1.0,1,42
1211210,5.0,1,45
1211762,2.0,1,84
1212315,5.0,1,6
1212867,4.0,1,69
1215628,5.0,1,71
1216181,2.0,1,50
1216733,3.0,1,55
1217285,4.0,1,7
1217838,3.0,1,83
1218390,1.0,1,38
1218942,2.0,1,55
1219495,2.0,1,57
1220047,4.0,1,7
1220599,3.0,1,38
1221151,2.0,1,84
1221704,1.0,1,52
1222256,2.0,1,50
1222808,4.0,1,78
1223361,4.0,1,56
1225570,5.0,1,64
1226122,2.0,1,60
1226674,5.0,1,93
1227227,3.0,1,57
1227779,5.0,1,10
1228331,3.0,1,96
1228884,1.0,1,73
1229436,2.0,1,20
1229988,4.0,1,51
1231093,1.0,1,48
1231645,4.0,1,43
1232197,3.0,1,27
1232750,5.0,1,95
1233302,5.0,1,7
1233854,5.0,1,81
1234407,5.0,1,31
1234959,3.0,1,50
1235511,5.0,1,80
1236064,4.0,1,25
1236616,1.0,1,54
1237168,3.0,1,71
1237720,5.0,1,66
1238273,2.0,1,31
1238825,5.0,1,45
1239377,4.0,1,99
1239930,2.0,1,52
1240482,1.0,1,59
1241034,5.0,1,80
1241587,5.0,1,43
1242139,5.0,1,54
1242691,3.0,1,80
1243243,3.0,1,3
1243796,5.0,1,76
1244348,1.0,1,93
1244900,5.0,1,69
1245453,1.0,1,56
1246005,2.0,1,54
1246557,3.0,1,21
1247110,4.0,1,45
1247662,5.0,1,14
1248214,3.0,1,67
1249319,5.0,1,95
1249871,2.0,1,10
1250423,3.0,1,63
1250976,5.0,1,23
1251528,1.0,1,54
1252080,5.0,1,28
1252633,2.0,1,29
1253185,5.0,1,90
1253737,2.0,1,9
1254289,2.0,1,51
1254842,5.0,1,60
1255394,3.0,1,12
1255946,5.0,1,44
1256499,2.0,1,10
1257051,5.0,1,25
1257603,5.0,1,75
1258708,1.0,1,10
1259260,1.0,1,78
1259812,5.0,1,3
1260365,5.0,1,9
1260917,5.0,1,56
1261469,3.0,1,30
1262022,2.0,1,46
1262574,1.0,1,18
1263126,3.0,1,56
1263679,5.0,1,86
1264231,4.0,1,35
1264783,2.0,1,3
1265335,2.0,1,6
1265888,5.0,1,84
1266440,4.0,1,33
1266992,4.0,1,75
